fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,25.69,Sentinel-2C L2A,2026-03-30_RGB.png,0.37
2026-03-30,ThermalFalseColor,25.69,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.63
2026-03-28,RGB,2.35,Sentinel-2B L2A,2026-03-28_RGB.png,1.09
2026-03-28,ThermalFalseColor,2.35,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,1.16
2026-03-25,RGB,35.61,Sentinel-2B L2A,2026-03-25_RGB.png,0.71
2026-03-25,ThermalFalseColor,35.61,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.96
2026-03-22,RGB,91.17,Sentinel-2A L2A,2026-03-22_RGB.png,0.41
2026-03-22,ThermalFalseColor,91.17,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.82
2026-03-20,RGB,64.75,Sentinel-2C L2A,2026-03-20_RGB.png,0.65
2026-03-20,ThermalFalseColor,64.75,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.98
2026-03-18,ThermalFalseColor,90.73,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.5
2026-03-18,RGB,90.73,Sentinel-2B L2A,2026-03-18_RGB.png,0.03
2026-03-15,RGB,84.12,Sentinel-2B L2A,2026-03-15_RGB.png,0.44
2026-03-15,ThermalFalseColor,84.12,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.79
2026-03-13,RGB,23.38,Sentinel-2C L2A,2026-03-13_RGB.png,0.93
2026-03-13,ThermalFalseColor,23.38,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,1.08
2026-03-12,RGB,34.43,Sentinel-2A L2A,2026-03-12_RGB.png,1.16
2026-03-12,ThermalFalseColor,34.43,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,1.18
2026-03-10,RGB,0.14,Sentinel-2C L2A,2026-03-10_RGB.png,1.1
2026-03-10,ThermalFalseColor,0.14,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,1.16
2026-03-08,RGB,1.44,Sentinel-2B L2A,2026-03-08_RGB.png,1.06
2026-03-08,ThermalFalseColor,1.44,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,1.12
